ID,TIPO_INCIDENCIA,FECHA_REPORTE,ESTADO,UsuarioID,MANTENIMIENTO_ID,NIVEL_ESCALAMIENTO,TIEMPO_RESOLUCION
1,desgaste,2024-06-04T00:00:00.000000Z,cerrada,"['877-15-7376', '467-34-2729']",['mnt-13905'],muy alto,56.0
2,desgaste,2023-10-18T00:00:00.000000Z,abierta,"['592-42-6016', '339-07-9203']",['mnt-00687'],muy alto,2-ESTADO-abierta
3,rotura,2024-07-27T00:00:00.000000Z,cerrada,"['012-65-0978', '976-02-8152']",['mnt-00376'],medio,272
4,vandalismo,2023-12-25T00:00:00.000000Z,cerrada,"['588-11-9551', '532-78-5662', '166-45-6290']",['mnt-02131'],bajo,208
5,mal funcionamiento,2024-01-14T00:00:00.000000Z,cerrada,"['004-60-5880', '563-73-1437']","['mnt-05277', 'mnt-08362']",alto,125
6,mal funcionamiento,2024-06-16T00:00:00.000000Z,cerrada,['243-58-3707'],['mnt-00817'],alto,34
7,mal funcionamiento,2023-11-29T00:00:00.000000Z,abierta,"['568-97-1438', '060-60-3082']",['mnt-13919'],alto,7-ESTADO-abierta
8,desgaste,2024-07-11T00:00:00.000000Z,abierta,"['796-05-5365', '885-57-6046']",['mnt-12758'],muy alto,8-ESTADO-abierta
9,mal funcionamiento,2024-03-30T00:00:00.000000Z,cerrada,"['845-09-0809', '326-82-2881']",['mnt-01303'],alto,133
10,rotura,2024-08-14T00:00:00.000000Z,cerrada,['593-69-8841'],['mnt-05048'],medio,26
11,vandalismo,2024-10-10T00:00:00.000000Z,cerrada,"['090-00-7405', '071-19-1066', '229-65-4862']","['mnt-07427', 'mnt-14453']",bajo,89
12,desgaste,2023-12-17T00:00:00.000000Z,cerrada,['176-13-0825'],['mnt-10750'],muy alto,158
13,mal funcionamiento,2024-07-20T00:00:00.000000Z,cerrada,"['766-49-4521', '178-54-7373', '885-67-2471']","['mnt-03278', 'mnt-11201']",alto,54
14,desgaste,2024-09-27T00:00:00.000000Z,cerrada,['597-15-0862'],['mnt-14451'],muy alto,236
15,desgaste,2023-10-25T00:00:00.000000Z,cerrada,"['362-42-8620', '718-53-6721']","['mnt-04397', 'mnt-04960']",muy alto,160
16,desgaste,2024-01-20T00:00:00.000000Z,abierta,['199-84-4323'],['mnt-00498'],muy alto,16-ESTADO-abierta
17,vandalismo,2024-07-09T00:00:00.000000Z,abierta,"['095-45-4865', '707-18-9915', '799-14-3002']",['mnt-10246'],bajo,17-ESTADO-abierta
18,mal funcionamiento,2024-02-06T00:00:00.000000Z,cerrada,['813-75-9847'],['mnt-11472'],alto,11
19,desgaste,2024-02-11T00:00:00.000000Z,cerrada,"['474-19-4063', '458-07-3973', '990-13-7252']","['mnt-01733', 'mnt-11172']",muy alto,39
20,vandalismo,2024-05-01T00:00:00.000000Z,cerrada,['629-15-3222'],['mnt-10095'],bajo,99
21,mal funcionamiento,2023-10-21T00:00:00.000000Z,abierta,"['282-52-9975', '384-61-9704']",['mnt-09042'],alto,21-ESTADO-abierta
22,mal funcionamiento,2024-06-10T00:00:00.000000Z,cerrada,['096-22-0670'],['mnt-11353'],alto,108
23,rotura,2024-01-27T00:00:00.000000Z,abierta,"['604-91-2343', '406-56-3619', '307-27-1424']",['mnt-09042'],medio,23-ESTADO-abierta
24,mal funcionamiento,2024-09-28T00:00:00.000000Z,abierta,['948-96-6590'],"['mnt-03568', 'mnt-09550']",alto,24-ESTADO-abierta
25,mal funcionamiento,2023-12-24T00:00:00.000000Z,abierta,['566-61-3591'],['mnt-03597'],alto,25-ESTADO-abierta
26,desgaste,2024-08-05T00:00:00.000000Z,cerrada,"['500-90-6672', '245-63-5707', '317-56-5131']",['mnt-00821'],muy alto,35
27,desgaste,2024-10-01T00:00:00.000000Z,cerrada,"['112-42-8189', '370-99-8984', '367-10-4674']",['mnt-06922'],muy alto,31
28,mal funcionamiento,2023-10-28T00:00:00.000000Z,abierta,"['249-99-1099', '404-10-1370']",['mnt-06286'],alto,28-ESTADO-abierta
29,vandalismo,2024-08-19T00:00:00.000000Z,abierta,"['508-98-5154', '378-11-4367', '378-11-4367']",['mnt-13953'],bajo,29-ESTADO-abierta
30,vandalismo,2024-04-18T00:00:00.000000Z,cerrada,['972-87-4607'],['mnt-14904'],bajo,124
31,desgaste,2024-09-30T00:00:00.000000Z,cerrada,"['223-42-0669', '449-74-0186', '398-59-2924']",['mnt-06337'],muy alto,236
32,desgaste,2024-04-30T00:00:00.000000Z,abierta,"['801-97-2555', '093-35-3953', '708-79-2896']","['mnt-09082', 'mnt-11531']",muy alto,32-ESTADO-abierta
33,mal funcionamiento,2024-02-03T00:00:00.000000Z,abierta,"['593-44-5401', '398-08-9022']",['mnt-04581'],alto,33-ESTADO-abierta
34,mal funcionamiento,2024-03-19T00:00:00.000000Z,cerrada,"['911-89-5856', '280-56-6309']",['mnt-14143'],alto,39
35,vandalismo,2024-06-13T00:00:00.000000Z,cerrada,['395-06-9681'],"['mnt-00559', 'mnt-05565']",bajo,3
36,rotura,2024-06-05T00:00:00.000000Z,abierta,['797-83-0198'],['mnt-13540'],medio,36-ESTADO-abierta
37,desgaste,2024-03-27T00:00:00.000000Z,cerrada,['268-12-9651'],"['mnt-02841', 'mnt-08770']",muy alto,43
38,vandalismo,2024-08-28T00:00:00.000000Z,cerrada,"['506-12-3016', '724-54-6205']",['mnt-09589'],bajo,201
39,rotura,2024-05-30T00:00:00.000000Z,abierta,"['148-81-7465', '892-51-8894', '277-22-2474']","['mnt-04881', 'mnt-10453']",medio,39-ESTADO-abierta
40,vandalismo,2024-03-02T00:00:00.000000Z,abierta,['277-13-4981'],['mnt-04290'],bajo,40-ESTADO-abierta
41,mal funcionamiento,2024-02-07T00:00:00.000000Z,cerrada,['896-45-6813'],['mnt-08378'],alto,26
42,rotura,2024-04-28T00:00:00.000000Z,cerrada,"['733-04-2086', '735-30-7385', '003-12-7817']",['mnt-12228'],medio,121
43,mal funcionamiento,2024-08-26T00:00:00.000000Z,cerrada,"['176-49-6345', '271-42-0156', '199-53-0558']",['mnt-13503'],alto,215
44,vandalismo,2024-06-18T00:00:00.000000Z,cerrada,['351-49-6681'],['mnt-07333'],bajo,40
45,desgaste,2024-09-19T00:00:00.000000Z,abierta,['461-89-3669'],['mnt-14756'],muy alto,45-ESTADO-abierta
46,vandalismo,2024-02-11T00:00:00.000000Z,cerrada,"['888-99-5847', '193-18-4017', '053-99-8190']",['mnt-00842'],bajo,154
47,rotura,2024-04-14T00:00:00.000000Z,cerrada,"['632-00-3897', '459-73-0908', '668-32-8793']",['mnt-01462'],medio,82
48,rotura,2024-10-10T00:00:00.000000Z,abierta,"['596-19-1998', '286-98-4422', '041-15-2415']","['mnt-02297', 'mnt-02494']",medio,48-ESTADO-abierta
